group,type,text,aggression,sentiment,behavior
lambda,notes,"[[ lambda ransomware ]] [ ] what's happened? all , but . otherwise, you cant return your data never . [ ] its just a business. we absolutely do not care about you and your deals, except getting benefits. if we do not do our work and liabilities - nobody will not cooperate with us. its not in our interests. to check the ability of returning files, we decrypt one file for free. that is our guarantee. if you will not cooperate with our service - for us, its does not matter. but you will lose your time and data, cause just we have the private key. time is much more valuable than money. [ ] instructions: a download and install tor browser from this site: https: www.torproject.org b open our website: http: nn5ua7gc7jkllpoztymtfcu64yjm7znlsriq3a6v5kw7l6jvirnczyyd.onion c enter this uid in the input: [snip] !!! danger !!! don't try to change files by yourself, don't use any third party software for restoring your data or antivirus edr solutions - its may entail damage of the private key and, as result, the loss all data. speak for yourself. since no one else has the private key, any interfere of third party companies individuals is tantamount to scamming you. one more time: its in your interests to get your files back. from our side, we the best specialists make everything for restoring, but please should not interfere. !!! !!! !!!",1,-0.68,cold threat
karakurt,notes,"ok, you are reading this - so it means that we have your attention. here's the deal : 1. we breached your internal network and took control over all of your systems. 2. we analyzed and located each piece of more-or-less important files while spending weeks inside. 3. we exfiltrated anything we wanted the total size of taken data is 1000 !!! gb but it is very sensitive and very confidential. our team attacked you pointwise you can find full listing of taken files in attached file. faq: - who the hell are you? - the karakurt team. pretty skilled hackers i guess. - why are you doing this?!?? - our motivation is purely financial. - we are going to report this to law enforcement. - you surely can, but be ready that they will confiscate most of your it infrastructure, and even if you later change your mind and decide to pay - they will not let you. - who else already knows about the breach? - me and you who received the same message the same way. nobody else. for now. - what if i tell you that i do not care and i am going to ignore this incident. - that's a very bad choice. if you will not contact us in a timely manner by 07.08.2022 we will start notifying your employees, clients, partners, subcontractors and any other persons that should know how you treat your own corporate secrets and theirs. - what if i will not contact you even after it? - then we shall move forward and start contacting your business competitors and list of anonymous inside traders we deal with, to find out if they are going to pay us for your data. when the list of the people who is interested in such data is formed - the closed online auction starts. - nobody will buy what you took! i do not believe you! - if the auction fails - we will just leak everything online, making sure that this leak goes straight to the press. we will make sure that your business will bleed by using any power we have in our possession, both social and technical. - what happens if i pay? - nothing bad will happen. we will remove everything we took from your network and leave you be. we will provide confirmation that the data is deleted. we will help you to close technical vulnerabilities you have and provide some insight on how to avoid such incidents if some other perpetrator is interested in you. we will never tell anybody about it. - we understand. we are ready to move forward. - you will find the access code at the end of this file, you will need this one to get in contact with us for further instructions to contact us using this id you should do the following : 1. download tor browser - https: www.torproject.org and install it. 2. open link in tor browser - https: omx5iqrdbsoitf3q4xexrqw5r5tfw7vp3vl3li3lfo7saabxazshnead.onion 3. insert access code [snip] inside the field on the page and click enter. 4. the chat window will open and we will be able to communicate through a secured channel. !",2,-0.61,cold threat
karakurt,notes,"welcome, this is karakurt team. . internal documents and files were stolen. please read this so you can contact us! ok, you are reading this - so it means that we have your attention. here's the deal : 1. we breached your internal network and took control over all of your systems. 2. we analyzed and located each piece of more-or-less important files while spending weeks inside. 3. we exfiltrated anything we wanted the total size of taken data exeeds !200gb! . you can see the full file-tree of downloaded files near to our note. file-tree.zip you can choose any two files from file-tree and we will provide them to you in confirmation that we have them. also, if necessary, we can return your files back after payment. faq: - who the hell are you? - pretty skilled hackers i guess. - why are you doing this?!?? - our motivation is purely financial. - we are going to report this to law enforcement. - you surely can, but be ready that they will confiscate most of your it infrastructure, and even if you will later change your mind and decide to pay - they will not let you. - who else already knows about the breach? - me, you, nobody else. for now. - what if i tell you that i do not care and going to ignore this incident. - that's a very bad choice. if you will not contact us in a timely manner we will start notifying your employees, clients, partners, subcontractors and any other persons that should know how you treat your own corporate secrets and theirs. - what if i will not contact you even after it? - than we shall move forward and start contacting your business competitors and list of anonymous inside traders we deal with, to find out if they are going to pay us for your data. when the list of the people who is interested in such data is formed - the closed online auction starts. - noone will buy what you took! i do not believe you! - if the auction fails - we will just leak everything online, making sure that this leak goes straight to the press. we will make sure that your business will bleed by using any power we have in our posession, both social and technical. - what happens if i pay? - nothing bad will happen. we will remove everything we took from your network and leave you be. we will provide the confirmation that the data is deleted. we will help you to close technical vulnerabilities you have and provide some insight on how to avoid such incidents if some other perpetrator is interested in you. we will never tell anybody about it. - we understand. we are ready to move forward. - you will find the access code at the end of this file, you will need this one to get in contact with us for further instructions. to contact us using this id you should do the following : 1. download tor browser - https: www.torproject.org and install it. 2. open link in tor browser - https: omx5iqrdbsoitf3q4xexrqw5r5tfw7vp3vl3li3lfo7saabxazshnead.onion 3. on the page and click enter. 4. the chat window will open and we will be able to communicate through a secured channel. ! -------access code------- [snip] -------access code-------",2,-0.17,pragmatic
jaff,notes,"html head meta content text html; charset utf-8 http-equiv content-type title jaff decryptor system title head body style background-color: rgb 102, 204, 204 ; color: rgb 0, 0, 0 ; alink ee0000 link 0000ee vlink 551a8b div style position: absolute; top:0; text-align:center; width:100 h1 style font-family: system; color: rgb 102, 102, 102 ; big jaff decryptor system big h1 div style .center width: 1000px; padding: 10px; margin: auto; background: fc0; style div style position: absolute; top:15 ; left: 30 ; p style border: 3px solid rgb 255, 255, 10 ; padding: 10px; background-color: rgb 223, 213, 209 ; text-align: left; big big files are encrypted! big big br br big big to decrypt flies you need to obtain the private key. br the only copy of the private key, which will allow you to decrypt your files, is located on a secret server in the internet br br big big 10102; big big you must install tor browser: https: www.torproject.org download download-easy.html.en br br big big 10103; big big after instalation, run the tor browser and enter address: http: rktazuzi7hbln7sy.onion br br follow the instruction on the web-site. big big br p br br center h1 big big h1 center div div body html",0,-0.06,pragmatic
blackmatter,chats,"victim: hi gang: hello victim: looks like our files encrypted by you, can you please assist? gang: oh sure gang: what can i help you with? victim: we're here to negotiate, our management wants to make sure that you have our data if we are to pay, can you provide some proof of the data, sample data etc.? victim: please let us know if we can obtain some proof data. thanks. gang: have you received files? do you need more ? gang: if so let us know, we wil prepare more data for download victim: no we have not received the files, please send or let us know where to download the proof data. also, we would like to see files in our buffalo backups since those systems were formatted we would like to make sure those files are available too. thanks for working with us! gang: all backups was securely deleted to prevent you from recovery process. everything else was encrypted, we will prepare archive with stolen data in 30 mins, stay in touch. gang: https: privatlab.org s v [redacted] gang: there is little sample with clients info autocad drawings and so on, check it out gang: https: privatlab.org s v [redacted] gang: its filee tree victim: thank you! i will send these to our management for review. victim: they asked if you could provide proof of some of the files below: victim: vhost2 data v[redacted] v[redacted] virtual machines a few files from this folder. 192.168.0.31 data sqldata db[redacted] eng.mdf 192.168.0.31 data sqldata [redacted].mdf victim: also, while we're reviewing the files, is it possible that the timer can be stopped as we're working on the funds? thank you so much! gang: we cannot share files like you asking for because it is database files, and one of them is database of backup software. timer updated. victim: thank you. does that mean you don't obtain those .mdt requested above, and cannot provide them after payment, we would need to use the decryptor to decrypt them, correct? gang: you're right. usually we directly download files instead of download whole vm. gang: hello, any news? victim: hi. we checked the portal a couple of days ago and this chat portal was down, i couldn't get in to chat with you. i made a request via contact us button, request id: [redacted] for your reference. and we had a long holiday weekend. can you extend the timer again due to the portal being down? victim: also, our management wants to make sure, once the payment is make: 1 you will provide us the data back through download, 2 you will delete our data from your side and provide proof, 3 you will provide us the decryptor, with support if there is any question or issue with the decryptor , 4 you will tell us how you hacked our network, 5 you will not publish the data or the blog post any media that you hacked our network and data. we were just able to test the decryption too now that the portal is back up. please confirm and i will let my management know. thank you! gang: first of all we add 3more days in timer. 1. we will setup temporary onion website where you can download your files to understand which ones was downloaded. 2. we will provide shreder log-files with reports of deleted files so you will compare it with files ha you download. 3. support for decryption available 24 7 365, but don't have any cases where it was needed. 4. short penetration-test report with main killchain and recommendations how to prevent this in future. 5. data in blog published only when we lost contact, so dont worry about it. victim: perfect. thank you for the confirmation! victim: our management had a meeting today and they would like to ask if you will take 150,000. we know this amount is small compared to your initial demand, but please understand that we sell [redacted] to school and government, and as you know, since covid started, all school has closed or gone online so no one has been buying our [redacted], therefore we have been suffering as many other business. also, looking at your main page, where you mention that you do not attack government sector, if we work with school and government like that, do we qualify for the free decryptor? just thought we'd check. again, thank you for working with this. please let us know if any of these works for you. gang: hello. you do not fall under our rules, it will not work for free. maybe you mean 150k discount? we know your cash flow and amount what we're asking for is not overpriced. victim: thanks for verifying that we do not fall under your rules. please understand that we are a small company and do not have significant capital, and we are here to negotiate in good faith. our management would like to know the amount that you can come down off the initial demand. thank you. gang: we can provide 20 discount and reduce 20 boost if you want to pay in bitcoin. so our best offer 4-4.5m gang: you're not so small how you want gang: [picture] victim: hi. the bank statement isn't actually telling much, we have expenses that the bank statement doesn't show, and a lot of those money in the statement are not ours, they're on-hold funds from other entities. if we were to pay 4m based on that bank statement, we would be out of business. our management came back with 250,000, which is the most that they can get at this point. please understand and help us out. gang: its too low, take a loan or smth because your offers is awful. we better lost amount that you offers than take this. we dont care. victim: can you please give us more discount? really covid and everything have been hitting us hard. we really appreciate your help, anything we can get. gang: sure we can but its about 250k in total. victim: sorry i didn't get that ... gang: lets try to safe your and our time. we setting price for 2.5m for 72h. there is enough time to take decision. if you will stuck in exchange or something we will add more time. gang: price and timer updated. tell to you manager that he must think twice, lost encrypted data and publish whole company secrets versus 2.5m . victim: hi. our management has gone to the board and this is a huge number for them, they can try to squeeze out 350k now, please help work with us here and see if this is acceptable. thanks for your help! gang: its too low. we will not accept this amount, dont try this, safe your time victim: we've been going out to get loans from the banks and able to get 500k total. we can pay within the next 24 hours if you accept this amount. please let us know. thank you! gang: its still too low. get 1m more and we will make a deal with highest discount in history.",2,-0.06,pragmatic
blackmatter,chats,"gang: hello and welcome to blackmatter. how may i help you? victim: hello victim: i need help with decrypt my data gang: to decrypt your files you have to purchase the decryption software. it costs 15m for you. victim: this is too hiigh a price. give me proof that the price is adequate for the data you have. gang: first of all, can you introduce yourself, state the company name and your position in it. victim: i am a spokesperson for the company and i will sell the information to my customer. because this is not secure communication, i do not want to state the name of the company and i assume that we will delete this chat after the meeting. victim: i am authorized to communicate with you on behalf of the company and to establish conditions that will be acceptable to both parties. victim: first of all, i would be happy if we set a price that is negotiable. next, it would be good to submit information about the data you have in your possession so that we can consider paying the ransom and start negotiating the price. gang: we have the doubts you are from company we need the proofs that you are from there. gang: so how can you prove it? victim: i can't prove it. we're gonna have to trust each other. victim: if you want to pay, then this is the only way to come to an agreement. so that emotions are not used in the negotiations, i am here as an intermediary. my client doesn't want to negotiate, even though it seems to be the only option. although they have backups, but the restoration will take some time, so i would like to negotiate an adequate price. gang: you cant prove it because you don't know it. this is just confirmed our doubts have a nice day. victim: we are a protected society and i cannot afford to openly write who it is. i only know the owner of the company who owns several companies. victim: if you do not want to cooperate, then i will pass this information on to the customer and the media to make it obvious that blackmatter are a group of crooks. gang: this is ridiculous, you can prove it in hundreds different ways, without compromising so called privacy . victim: give an example.i only know the owners of the companies. gang: to start a cooperation, we have to know with whom we a dealing and you failing it. so far you looks as some boring guy who got a sample from virus total and obtained the chat link. victim: they found this file in their system and that's why i came to your page c: [redacted].readme.txt gang: you can upload the company s letterhead, you can tell to us domain controllers name, name of backing up software it is just a few victim: actually i don't have much time to deal with authorization. i want to help the customer and negotiate the terms of cooperation. just because anyone can watch this chat, i don't want to share any information and prove that i am who i am. do you want to negotiate the price? gang: so far it looks as your main objective is to f ck with us victim: the environment is isolated and analyzed by the forensics team and the police. i can't interfere with the investigation, and all the documentation has been encrypted, as the customer told me. victim: i certainly don't feel like fucking with you. i want to talk and get this thing resolved as soon as possible. gang: here we go again, to negotiate with whom with some random joe? gang: ok, this is simple prove you are from company or just go grab another sample from vt. victim: yes, let's talk about price and what you get for our data. then we can discuss the price of the decryptor. victim: what is vt? gang: oh [redacted] you so clever virustotal.com victim: oh, i see. so how do we do it? gang: you have the options 1. internal windows domain name. 2. domain administrators name. 3. backup software name. this information aren t locked by encrypting software or police victim: 1 [redacted] victim: 2 administrator gang: 2 administrator this is too generic give us another one victim: [redacted] gang: ok, john thank you. so you see the price, you need to pay it. victim: are we really not? this bill was sent to me by their owner. i'm gonna look like a fool if we don't agree on a price. gang: your english is too sophisticated for me, can you try again victim: are we really not? this account was sent by their owner. if we don't make a deal, i'm gonna look like an idiot. victim: i don't speak english, so i translate automatically. gang: you see the demanded price. if you ll pay it you will get. 1. the decrypting tools. 2. your data back we took 1.5tb, pii, nda, emails, mssql databases 3. a file tree. 4. explanation how the company was breached. victim: the price is not adequate. give me a price i can pass on to the owner of the company. gang: we have no idea what a price is adequate for you. we can make 10 discount for fast payment and remove 25 btc transaction fee. make the offer. but to make it simple we will not consider the offer less than 7-figure number. victim: our idea was 500,000, but we can negotiate a price of 1,000,000. give us proof that there is information sensitive enough to be of such value. gang: do you want me upload a sample with office documents? the emails and sqls are too big but we have them all. gang: one more detail we know the company doesn't have the backups. rubrik is gone victim: we have offline backups. ok show me the office document and a screenshot of the database. victim: do you also have the passwords of the domain users? give me a screenshot. gang: you have tapes for [redacted] but they are useless without software. gang: this is the screenshot for da hashes and passwords. https: ibb.co [redacted] victim: we have a backup created by other software and transferred to a san to a backup data center. restoration will take a long time, but it is possible. what databases do you have? gang: yo can get the sample by following link. https: privatlab.com m v [redacted] we will not make db screenshots too much work. gang: we have dbs from [redacted]sql sql2014test [redacted]sql1 [redacted]-sql [redacted]-sql victim: data in databases should be encrypted. just because you have database servers doesn't mean anything. gang: should or is? victim: according to it, it should be. let's make a deal like this. if the data in the database is encrypted, we'll pay you 100,000 to decrypt it for us. if the data in the databases is not encrypted, then we'll pay you 700,000. 700,000 is the price we have to invest in recovery, and if the recovery with the decryptor is faster, then we'll save money on service outages. gang: to complicated, we said what will provide if we ll agree on price. 700k is unacceptable. victim: okay, then the price is 1,000,000 if the data is readable. gang: without any conditions, you are paying for decrypting tools and fast recovery, the data is collateral. you will not recover so easily without decryptor. we can do negotiations pretty long; time is on our side. if you are want to finish this fast make the acceptable offer. victim: the data you hold is worse for us than having to recover it. the data you hold is worth no more than 1,000,000, which is why we are offering this price. we can restore the data from offline backups we have tested this . a higher price than 1,000,000 is not acceptable to us. if you don't accept this price, then i need to check with the owner of the company what we will do next and if we can offer more money. gang: how you evaluate data s price can i see a formula? gang: you can do incremental and we can do decremental steps, make the offer that we can turn down. 1 is to far away from 15. victim: we evaluate it subjectively. we have already written to people about pii, so the reputational impact has already occurred. we're gonna put new passwords in active directory. office documents aren't that valuable to us. the only thing of value is the databases. victim: 15 is meaningless. i thought 15 was just a number, but not the actual ransom. gang: we just checked the random db, data is fine and not encrypted. have a look. https: ibb.co [redacted] victim: i understand, but for us only the know-how and customer information in the databases is worth anything. victim: i can see it now. then name a price that makes sense for both sides. gang: nothing sn meaningless, we did a good pentest for your company it has to be rewarded. 1kk is not enough. do some consultations and come with a better offer. gang: one of your competitors was hit the same yesterday if it helps to your feelings. gang: if you will offer the good price today we can make a decent discount for you. victim: i need to check with the management and the owners. what competitor do you think? gang: by the way they offer much more then you. victim: i guess they don't have backup. gang: you either, you tried to do it on sunday but you know what has happened. victim: we are restoring. i'm gonna go talk to the management. gang: https: ibb.co [redacted]",1,-0.31,cold threat
blackmatter,notes,"' black .-., ' ' . - o - ' ' . . , ' . ' . . ' ' matter o ' . what happens? your network is encrypted, and currently not operational. we need only money, after payment we will give you a decryptor for the entire network and you will restore all the data. and we do not need anything other than your money. if you pay, we will provide you the programs for decryption and we will delete your data. if we do not give you decrypters or we do not delete your data, no one will pay us in the future, this does not comply with our goals. we always keep our promises. how to contact with us? 1. download and install tor browser https: www.torproject.org . 2. open http: supp24yy6a66hwszu2piygicgwzdtbwftb76htfj7vnip3getgqnzxid.onion [snip]. warning! recovery recommendations. we strongly recommend you to do not modify or repair your files, that will damage them.",2,-0.53,cold threat
rancoz,notes,"hello! your company has been hacked! your data are stolen and encrypted that we will not deceive you? and we do not need anything other than your money. if you pay, we will provide you the programs for decryption and we will delete your data. . if we do not give you decrypters, or we do not delete your data after payment, then nobody will pay us in the future. therefore to us our reputation is very important. we attack the companies worldwide and there is no dissatisfied victim after payment. you need to contact us by email rec rans aol.com and decrypt some files for free the data will be published on tor website if you do not pay the ransom download and install tor browser https: www.torproject.org links for tor browser: http: ze677xuzard4lx4iul2yzf5ks4gqqzoulgj5u4n5n4bbbsxjbfr7eayd.onion your personal id: [snip] provide your personal id in the email warning! do not delete or modify any files, it can lead to recovery problems! warning! if you do not pay the ransom we will attack your company repeatedly again!",3,-0.77,pragmatic
nokoyawa,notes,"nokoyawa. if you see this, your files were successfully encrypted. we advice you not to search free decryption method. it's impossible. we are using symmetrical and asymmetric encryption. attention: - don't rename encrypted files. - don't change encrypted files. - don't use third party software. to reach an agreement we offer you to visit our onion website. how to open onion links: - download tor browser from official website. - open and enter this link: http: 6yofnrq7evqrtz3tzi3dkbrdovtywd35lx3iqbc5dyh367nrdh4jgfyd.onion pay [snip] - on the page you will see a chat with the support. - send your first message. the faster you contact with us the faster you will get a solution.",0,-0.05,pragmatic
nokoyawa,notes,"dear username , your files were encrypted, some are compromised. be sure, you can't restore it without our help. you need a private key that only we have. contact us to reach an agreement or we will leak your black shit to media. you will need to download tor browser. after installation open this link and contact with support: http: lirncvjfmdhv6samxvvlohfqx7jklfxoxj7xn3fh7qeabs3taemdsdqd.onion pay id [snip] be careful with your messages or you will never get your files back.",1,-0.62,cold threat
